Keyword,Type
Communication,General
Time Management,General
Adaptability,General
Problem-solving,General
Teamwork and collaboration,General
Critical thinking,General
Attention to detail,General
Interpersonal skills,General
Organizational skills,General
Leadership,General
Conflict resolution,General
Multitasking,General
Self-motivation,General
Work ethic,General
Customer service,General
Project management,General
Negotiation,General
Active listening,General
Microsoft Office,Technical and Digital
Excel,Technical and Digital
Word,Technical and Digital
PowerPoint,Technical and Digital
Data analysis,Technical and Digital
Social media management,Technical and Digital
SEO,Technical and Digital
Search Engine Optimization,Technical and Digital
Google Analytics,Technical and Digital
HTML,Technical and Digital
CSS,Technical and Digital
Python Programming,Technical and Digital
JavaScript,Technical and Digital
Web development,Technical and Digital
Graphic design,Technical and Digital
Adobe Photoshop,Technical and Digital
Illustrator,Technical and Digital
Video editing,Technical and Digital
Final Cut Pro,Technical and Digital
Adobe Premiere,Technical and Digital
CRM,Technical and Digital
Salesforce,Technical and Digital
HubSpot,Technical and Digital
Email,Technical and Digital
Marketing,Technical and Digital
Mailchimp,Technical and Digital
Constant Contact,Technical and Digital
Cloud computing,Technical and Digital
AWS,Technical and Digital
Amazon Web Services,Technical and Digital
Azure,Technical and Digital
Google Cloud,Technical and Digital
Cybersecurity,Technical and Digital
Cybersecurity Awareness,Technical and Digital
IT support,Technical and Digital
Troubleshooting,Technical and Digital
WordPress,Technical and Digital
eCommerce,Technical and Digital
Shopify,Technical and Digital
WooCommerce,Technical and Digital
3D modelling,Technical and Digital
Blender,Technical and Digital
AutoCAD,Technical and Digital
Strategic planning,Leadership and Management
Budget management,Leadership and Management
Team leadership,Leadership and Management
Performance evaluation,Leadership and Management
Talent acquisition,Leadership and Management
Recruiting,Leadership and Management
Mentorship,Leadership and Management
Coaching,Leadership and Management
Resource allocation,Leadership and Management
Risk management,Leadership and Management
Operations management,Leadership and Management
Supply chain management,Leadership and Management
Lead  generation,Sales and Marketing
Sales forecasting,Sales and Marketing
B2B sales,Sales and Marketing
B2C sales,Sales and Marketing
Account management,Sales and Marketing
Marketing strategy development,Sales and Marketing
Brand management,Sales and Marketing
Customer relationship management,Sales and Marketing
Market research,Sales and Marketing
Event planning,Sales and Marketing
Financial analysis,Finance and Accounting
Bookkeeping,Finance and Accounting
Payroll management,Finance and Accounting
Tax preparation,Finance and Accounting
Budget forecasting,Finance and Accounting
Auditing,Finance and Accounting
Accounts payable,Finance and Accounting
Account receivable,Finance and Accounting
Financial reporting,Finance and Accounting
Risk assessment,Finance and Accounting
Cash flow management,Finance and Accounting
Patient care,Healthcare and Medical
Medical coding,Healthcare and Medical
Medication administration,Healthcare and Medical
Wound care,Healthcare and Medical
First aid ,Healthcare and Medical
CPR,Healthcare and Medical
Cardiopulmonary resuscitation,Healthcare and Medical
Clinical documentation,Healthcare and Medical
HIPAA,Healthcare and Medical
GDPR,Healthcare and Medical
Compliance,Healthcare and Medical
Epic,Healthcare and Medical
Cerner,Healthcare and Medical
Case management,Healthcare and Medical
Laboratory skills,Healthcare and Medical
Curriculum development,Education and Training
Classroom management,Education and Training
E-learning design,Education and Training
Student assessment,Education and Training
Special education,Education and Training
Lesson planning,Education and Training
Educational Technology,Education and Training
Training and development,Education and Training
Public speaking,Education and Training
Workshop facilitation,Education and Training
UX,Creative and Design
UI,Creative and Design
UX/UI design,Creative and Design
Photography,Creative and Design
Copywriting,Creative and Design
Storyboarding,Creative and Design
Creative direction,Creative and Design
Typography,Creative and Design
Motion graphics,Creative and Design
Illustration,Creative and Design
Interior design,Creative and Design
Product design,Creative and Design
